IG,品名
Aluminium,アルミ
Chicago W,小麦
NYオレンジジュー,オレンジ
NYココア先物 (,ココア
NYコーヒー ベア,コーヒー
NYコーヒー先物 ,コーヒー
NYコーヒー先物(,コーヒー
NYパラジウム先物,パラジウム
NYプラチナ先物 ,プラチナ
NY天然ガス($2,天然ガス
NY天然ガス先物 ,天然ガス
NY砂糖 ベア(下,シュガー
NY砂糖先物 ($,シュガー
NY砂糖先物 (\,シュガー
NY綿花先物 ($,コットン
NY綿花先物 (\,コットン
NY綿花先物($2,コットン
NY金先物 ($3,ゴールド
NY銅先物 ($0,銅
NY銅先物 (\1,銅
NYｵﾚﾝｼﾞｼﾞ,オレンジ
Soybean M,大豆ミーン
Soybean O,大豆オイル
Soybeans ,大豆
WTI 原油先物 ,石油
アルミニウム (U,アルミ
シカゴオーツ麦先物,オーツ麦
シカゴコーン ベア,コーン
シカゴコーン先物 ,コーン
シカゴコーン先物(,コーン
シカゴ小麦先物 (,小麦
シカゴ材木先物 (,材木
シカゴ材木先物($,材木
シカゴ生牛先物($,ウシ
シカゴ豚赤身肉先物,ブタ
スポット金 (円建,ゴールド
スポット金 ブル(,ゴールド
スポット銀 (円建,シルバー
スポット銀 ブル(,シルバー
ニッケル (USD,ニッケル
ロンドンコーヒー先,コーヒー
亜鉛 (USD 5,亜鉛
鉛 (USD 5),鉛
銅 (USD 5),銅
